Name,Achnanthes sp.,Actinastrum sp.,Amphora sp.,Anabaena sp.,Ankistrodesmus sp.,Asterionella formosa,Bitrichia sp.,Ceratium sp.,Chodatella sp.,Chroococcus sp.,Closterium sp.,Coelastrum sp.,Cosmarium sp.,Crucigenia sp.,Cryptomonas sp.,Cyclotella sp.,Cymbella sp.,Diatoma sp.,Dinobryon sp.,Diploneis sp.,Elakatothrix sp.,Fragilaria sp.,Gomphosphaeria sp.,Gymnodinium / Peridinium,Kirchneriella sp.,Lyngbya sp.,Melosira sp.,Meridion circulare,Merismopedia sp.,Microcystis sp.,Mougeotia sp.,Navicula sp.,Nephrochlamys sp.,Nitzschia sp.,Oscillatoria sp.,Pandorina sp.,Pediastrum sp.,Peridinium sp.,Phacus sp.,Pinnularia sp.,Rhodomonas sp.,Scenedesmus sp.,Selenastrum sp.,Spirogyra sp.,Spirulina sp.,Staurastrum sp.,Stauroneis sp.,Stephanodiscus sp.,Synedra sp.,Tabellaria sp.,Tetraedron sp.,Tetrastrum sp.,Ulothrix sp.,Zygnema sp.,non defined blue algae,non defined green algae ,filamentous blue algae,filamentous green algae,non defined coccal green algae ,Nanoflagellates,SUMME
31.00,78649.12,,,9730740.94,460705.24,,,19821387.03,,18938.52,,,,,117805421.67,197319264.30,380638.80,6900388.14,3194541.74,,574226.10,656726.32,,,,,,781358.13,18189.47,,,2986548.11,,,2651.44,,,29739724.85,,,2628096.30,338434.77,,,,,1478752.33,,90710.34,,,439352.24,,,,2402317.23,,,7277698.25,14337488.94,
32.00,11164.91,103693.27,,504754.40,93789.47,22847876.01,,17573214.42,,241445.61,3794201.36,116894.40,372091.20,270736.84,1547888052.11,12602728.42,1705852.31,4671031.84,1947837.66,,442206.32,19312604.73,,,303915.79,,,1571371.58,16370.53,,,,,,772725.38,,4978441.60,8716092.63,,,66870279.80,31095644.02,660799.37,,,12405.40,,,1871017.80,4614628.26,1056771.38,1132889.82,156688.00,,5426394.57,3657636.98,,316726883.41,189675.79,26337958.33,
33.00,,,,,302442.11,462557.60,197584.21,6886852.57,,5793600.00,,,167963.20,466253.87,5262456.14,68508804.21,2197356.94,,37339431.58,,1231296.59,3378732.00,1568810.53,23710015.79,,,,,,,,,,,,,3281885.57,,,,3012224.88,,,,,,717845.61,,,,,,,,,,12013754.39,,519230.08,124565694.44,
34.00,,,,149597.44,3532391.17,20836362.61,210060.74,764331631.04,,215646.32,774092.19,545322.11,1454207.01,613513.33,173566638.36,313554778.95,,351920.00,40585155.49,,599663.16,293651531.35,,32813919.71,,,,1002303.16,,12184321.15,,2577212.85,24740.35,,327828.57,23448798.17,1253737.99,32163491.44,,,9614408.38,1499115.79,,,,3686570.80,269339.13,,162107556.58,,3242281.28,782958.28,,,1629072.45,,,,3822477.66,56374500.00,
35.00,,,,,,,1788312.67,52086759.48,,,,,,,12304262.05,89232145.01,,,2272916.58,,155107.00,20964809.50,,16722776.93,,,,,3619.12,,,,,,,,,,,,8908968.95,,,,,,378812.21,,894132.16,,,,,,,,,,480925.30,27981053.30,
36.00,,,,9801.82,417010.53,6265094.92,617246.34,240339419.16,,1280667.12,,,384481.72,,98481963.82,20354604.51,1829736.22,133239.45,38189197.56,,29124.00,6582485.18,1905828.73,8240585.72,,64033812.63,963865.32,1892426.11,5536.29,,,501725.78,,,3149555.76,,869421.42,,,,23641308.57,16921.74,,,,,,,,1237197.74,,,,,,1848733.89,,97537.16,3887369.71,41897798.70,
37.00,,,,,2620178.70,81536141.17,2483210.65,37922758.54,,,183710.99,1088835.31,1868244.20,,177300431.64,47267252.42,,,34803929.98,,436084.21,44881344.84,,122122598.21,,,,,,3749241.26,,,,,,110019898.12,22373667.66,,,,55647037.34,623796.84,,,,12907865.51,860792.64,,630943483.00,,25209792.71,659797.91,,,10127449.86,,,,48538937.23,46748697.75,
38.00,,,,,91473.68,153440.08,1564208.33,5750358.12,,6238629.23,41061.19,14000.00,2658831.10,,55294255.68,38142329.58,154908.33,,276357092.93,,41428.00,5552872.93,,63158479.79,,,,,,5202698.78,,,,,,930912691.17,504716.27,,,,18235106.28,,,,,,391552.15,,,,242210.53,231819.55,,,18277651.99,,,,5634605.61,139275500.00,
39.00,15461.00,,,,1966590.75,1613131.18,,5329429.11,,,,,1874999.04,,7456286.26,4485636.51,582018.12,,118976621.39,,262040.83,155552.29,,610443.28,,,,404791.88,,,712207.18,27223.04,,,354870.66,,,,,,17843846.58,,,,,,,,,,,,,,,,,,81829.61,27916168.65,
40.00,23913.15,,,838668.09,977448.42,714268.79,,63195758.46,,3927473.68,91204.40,,9340377.99,,156408537.29,49495251.34,31333.20,215362.05,5261451.60,,117181.97,4624283.88,,36587976.46,,,,,,7156700.00,,57794.80,,,1594667.34,1986188.41,309248.98,,,,5685407.32,187654.74,,,,378271.29,,,86269.50,41256801.21,7841363.54,310220.49,,,850964.21,,,,16974846.32,27610520.83,
41.00,49951.58,,,969861.05,,135929.60,725465.26,37200035.72,,1819406.32,,,584420.19,,20706590.50,86463536.84,70819.14,,5139281.11,,91301.14,344697.08,,15579701.79,,,,317536.17,,,,1439558.46,,,,,,,,,12576575.39,,,,,278002.21,,,71938.94,,,25933.97,,,3211768.42,,,,,32944645.83,
42.00,,,,17171645.46,6069909.14,35030741.20,,,,,252488.37,89117.83,2306055.98,1680373.96,34946167.74,3204414.08,,,2265493.75,,336341.39,227323578.68,,1863663.60,,,,,,,,,246565.85,,,,707553.66,,,,1607072.88,343059.08,,,,2085246.47,,,18669585.03,,2110806.94,,,,2532771.06,,,11598089.64,163863.99,142656398.29,
43.00,,,,314049.49,,,5675910.06,,,,,,,,56712042.11,17412724.82,,,1649255.63,2210066.81,242928.72,,,14117442.08,,,,,,,,,,,,,173661.22,,,,,,,,,,,,147692.04,,,299951.66,,,,,,,,57553987.66,
44.00,110108.76,,,12905604.62,703443.65,2775961.68,663372.42,4788723.71,,,,,458917.95,,31869727.43,47527537.26,883811.95,16050693.53,8397745.52,,104145.04,8469342.54,,7087390.37,,,,2192026.08,,,,2015796.11,,,7424.02,,,,,,11434147.13,,,,,,,,610787.51,1589600.73,,,,,,312107.49,,11974840.04,2364278.33,26995517.97,
45.00,,,,24303058.95,60168.42,639000.00,741213.67,5292243.36,,72791.58,33932.63,6080.38,504809.75,,13275419.13,156532042.11,959031.58,,255265884.11,,290263.16,39856.46,,,,5378933.33,,,135458.21,8344800.00,,13595918.91,,,376116.21,,,33861996.73,,,3299644.21,38798.37,,,,,,,160298.80,,117412.20,184117.89,,,2989892.63,,,,0.00,27915083.33,
46.00,,77362.78,,411037.04,1807160.42,38482067.39,,1493299199.65,,1675703.00,511363.35,,26312391.73,,138577903.29,1120945.00,,,40641714.92,,755597.00,26747326.65,,2295975.80,,,,,14752.00,12765473.68,,,,,,108165.56,8591323.48,,,,16584392.91,200220.49,,,,9993875.06,215353.68,,,156768852.50,163857.89,,,,,,,,24879325.55,184861000.00,
47.00,,,,,,,,10862131.54,,,,,,,26727882.26,,,,10013827.99,,,117345.49,,1609099.92,,,,,1354582.13,,,9186953.55,,,,,,,,,15440022.81,,,,,587108.70,66704.43,,,,,,,,,,,,713847.82,21330871.94,
48.00,,,42105.26,59904.95,,,4493970.57,9813447.44,,,,,841199.04,,23233205.99,25902942.31,68423.91,,20242492.19,435407.89,332611.21,585007.04,,35687891.30,,,,,3637.89,7005745.57,,1449296.30,,,,,,,,,7955735.62,5797582.05,,,,,1142331.05,,,,,,,,,,,,483419.74,23209348.62,
49.00,,,8000.00,,932989.88,113630.51,3448742.58,5259570.29,,,,25627.91,,,55832902.42,1497059.43,397617.03,,705715.97,,15651.21,,,,,,,,,,,2067389.86,,,,,,,,,15627604.68,8710.87,,,,496342.59,889606.64,,488771.52,,,,,,,,,,1167401.47,19223146.56,
50.00,2311347.46,,,,1291171.91,,140121.44,1918281.56,,,,,563957.36,,113517668.40,32519216.83,14248010.30,,132971858.16,,39751.33,11755533.74,,3535895.33,,,,,237141.61,,,57490465.41,,22774.98,36709.62,,,,,62982547.77,33389194.39,58527.43,33297.61,7236065.24,,,41595052.38,,1545148.56,659603.04,,,,1464692.71,,128307.61,,,,19930381.52,
51.00,,,,,1486545.43,6856569.37,5896777.07,43973061.87,,,,,1282960.64,,42602070.25,41336147.37,282944.04,,822195.99,,1013103.49,,,688554.89,,,,,94459.52,,,,,,,,,,,,13680008.77,,,,,,1121545.42,,,,,,,,,,,,31596750.63,19807997.19,
52.00,16650.53,,,1572705.84,,203894.40,414551.58,22142878.40,,446269.47,,,584420.19,,13804393.66,114031621.05,77901.05,820413.54,4505213.96,,82171.03,430871.36,,9281811.14,,,,,,,,1919411.27,,,,,,,,,6526080.09,,,,,,,,143877.88,,,51867.93,,,1391766.32,,,,472105.26,55171625.00,
53.00,,,32388.66,6736.84,34694.02,82238.83,1077857.20,,,,,,,,40531713.58,4856739.64,35359.55,,71991718.58,41656.98,31397.73,626019.05,,1073724.82,,,,,,,,9987783.24,,,,,159273.10,,,,59399743.77,110472.35,,,,502818.24,,,,,,951828.93,,,,7175324.21,,,,20251500.00,
54.00,,,,1047745.88,,572851.27,1264538.95,32474501.82,,,,,,,63382035.70,79830875.53,424416.07,,138554174.09,621581.29,662587.85,,,11767018.58,,,,,338645.53,,,3429827.96,,,,,,,,,13241743.42,,,,,,62838463.46,,1573310.25,,,,,,492442.11,,,,2450648.63,61046297.64,
55.00,220217.52,,,8068854.90,710802.37,,,3716510.07,,26513.93,,,,,24314844.51,396736942.98,456766.57,14490815.09,1141878.75,,1004895.68,262691.76,,,,25048.72,,468814.88,,,,3258052.48,,,89088.30,,,24287441.96,,,4684663.64,379046.94,,,,,887251.40,,136065.52,,,307546.57,,,,,,379253.31,6471131.09,10608691.45,
56.00,84252.06,,,2014616.54,91515.75,,1836536.89,134257779.06,,293819.92,202687.49,,3921164.70,,48143377.10,42723439.19,,,954058.18,,2024109.90,692633.37,,,13564.16,66796.57,,,,2732313.39,,3736211.30,,,30098.95,340354.92,33641.58,17632132.42,,,12987606.36,1173605.42,,,,753223.80,1199220.72,,379349.36,,301508.61,2525015.77,,,46456172.07,2687032.10,,,2750868.31,39806993.70,
57.00,,,,568552.74,,4615902.25,107785.72,12146980.12,,,,,,,146545796.72,15002208.86,,,22764475.00,,219034.26,302232.41,,37582837.17,,,,,,,,7257683.77,,,121087.72,,,,,,9135122.42,95807.94,,,,,1867012.21,,,,89984.88,,,,,,,,,16049378.17,
58.00,,,,142911.69,,1074842.84,63691.56,28154872.77,,77700.53,,,,,102278351.04,12231978.70,216836.62,,38442610.67,,303183.52,238122.51,,73790664.29,,,,,,,,1170030.04,,112746.54,,,,,,,65111052.09,273559.48,,,,,156096.77,,85383.13,,,,,,,,,,,19740396.50,
59.00,,,,9681212.64,451377.64,,1050910.77,176295617.66,395196.30,4667304.49,,,723022.60,,92019112.70,119753931.69,68423.91,,42812665.18,,25153325.30,,,71343342.02,,,,,596842.11,6181217.72,,6273957.26,,,5685433.70,,,,,,3557379.98,131505.77,,,,,140000.57,,,,2247282.45,7409918.30,,,22187649.91,14139623.87,,,4720561.89,42586970.22,
60.00,791135.84,,,5689.74,1930.64,,,,,,,,,,144570.25,533966.31,248397.39,783439.07,8240.02,,11849.27,143207.76,,,,,,583134.06,,,,1118071.54,,,23072.40,,,,,,21467.84,4289.02,,317970153.50,,,391891.20,,171206.86,,,,,,,175524.81,,,,4199513.25,
61.00,3413980.95,,,88456.66,379503.21,8523916.62,262727.69,107944201.21,,215263.84,,,690979.66,,104690354.29,105713755.43,120729.42,,18035042.82,,229238.20,15328633.21,6257015.85,20927488.31,,,,14051508.97,17353.39,,,13700359.88,,,3171019.96,1466049.26,542712.84,,,,50586831.73,195069.97,,,,,,,10836293.35,190776.81,,,,,,,,,943492.69,15334980.32,
62.00,461868.05,,,767108.30,79848.10,,1951691.42,,,2166375.97,,,1669068.48,,73847911.90,5540139.96,1238445.36,,6004867.94,,125549.37,121436.81,,5303843.00,,,,,822424.86,,,19233325.44,,299112.78,22200.88,,,,,,23426852.70,323455.86,,,,,4888413.37,,1523782.31,688524.17,,,,,,,,,,14957828.33,
63.00,165736.62,,,7449725.18,14053.36,670628.65,420364.31,28873911.27,,,,,4673391.75,,78119234.88,29628741.03,1690105.57,,17491634.82,,86946.28,2637945.41,,,,8349.57,,600049.04,,,,8898139.39,,,22876.61,,,38984946.16,,,2572543.94,254720.45,,,,,4620652.38,,206095.53,811620.62,6760.59,,,,,1425723.05,,,,17288748.15,
